GLCNACPTRANS-RXN	ACGAMT
RXN-7913	CYTK2
RXN0-1461	CPPPGO
2.4.1.161-RXN	14GLUCANtexi
LEUKOTRIENE-C4-SYNTHASE-RXN	LTC4Sr
RXN0-901	XAND
RXN-14100	DCK2n
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	4HBHYOX
CITRAMALYL-COA-LYASE-RXN	CITMCOALm
4.1.1.74-RXN	INDPYRD
3.1.3.56-RXN	MI145PP
URIDINEKIN-RXN	URIK1
CATECHOL-2-3-DIOXYGENASE-RXN	3MCAT23DOX
PYRUVDEH-RXN	PDH
RXN-11496	PDH2
FLAVONADPREDUCT-RXN	FLDR
MMUM-RXN	HCYSMT2
RXN-1401	TRYPTAOX
RXN-1404	NTRLASE
GLYCEROL-DEHYDROGENASE-NADP+-RXN	ALCD19y
RXN-10040	3HCINNMH
GLYCEROL-KIN-RXN	GLYK
R217-RXN	CH3ACH
DUTP-PYROP-RXN	DUTPDP
GALACTARDEHYDRA-RXN	GALCTD
HISTPRATPHYD-RXN	PRATPP
RXN-9536	3OAR140
RXN-9537	3HAD140
RXN-9534	EAR120y
4-COUMARATE--COA-LIGASE-RXN	4CMCOAS
NAD-SYNTH-GLN-RXN	NADS2
RXN-9533	3HAD120
RXN-9531	3OAS120
RXN0-2522	MANGLYCptspp
UROGENIIISYN-RXN	UPP3S
HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	VNDH-2
RXN3DJ-11417	SPHK21c
PROTOCATECHUATE-34-DIOXYGENASE-RXN	PCADYOX
RXN-8580	3MBZALDH
RXN-8581	4MBZALDH
RXN-8582	4MBZDH
RXN-8583	3MBZDH
GLUTAMATESYN-RXN	GLUSy
1.14.13.60-RXN	P4507B12r
RXN0-1483	FEROpp
RXN-11503	HEX7
ACNEULY-RXN	ACNML
R216-RXN	RH3CD
3-OXOADIPATE-COA-TRANSFERASE-RXN	3OADPCOAT
RXN-13614	FACOAL100p
RXN-7644	SBTD_D2
ADENOSINETRIPHOSPHATASE-RXN	ATPM
R345-RXN	ADCYRS
LCYSDESULF-RXN	CYSDS
TRANS-RXN-199	CSNt2
UDP-NACMURALGLDAPAALIG-RXN	UGMDDS
DIHYDROFOLATEREDUCT-RXN	DHFR
PROSTAGLANDIN-I-SYNTHASE-RXN	PGISr
TRANS-RXN-193	CA2abc
DCTP-DEAM-RXN	DCTPD
R232-RXN	SMTZS
P-PANTOCYSDECARB-RXN	PPCDC
GALACTITOLPDEHYD-RXN	GLTPD
LACTATE-RACEMASE-RXN	LacR
GLUTAMINE-N-PHENYLACETYLTRANSFERASE-RXN	PHACCOAGLNAC
SULFITE-REDUCT-RXN	SULR
RXN0-5224	H2CO3D2
RXN0-5229	GALCTLO
R231-RXN	SPDC
UTPHEXPURIDYLYLTRANS-RXN	GALT
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	PPDK
2.3.1.157-RXN	G1PACT
RUBREDOXIN--NAD+-REDUCTASE-RXN	RNADRr
RXN-10615	TRIODTHYSULT
METHYLACETOACETYLCOATHIOL-RXN	ACACT10m
HCAMULTI-RXN	PPPNDO
FUCULOKIN-RXN	FCLK
METHIONINE-GAMMA-LYASE-RXN	METGL
NANK-RXN	AMANK
PROSTAGLANDIN-E2-9-REDUCTASE-RXN	CBR2
2.7.7.15-RXN	CHLPCTD
RXN-14161	NTD6
RXN-12354	4OT
RXN66-27	DHCR71r
4.2.3.12-RXN	PTHPS
INORGPYROPHOSPHAT-RXN	PPA
SQUALENE-MONOOXYGENASE-RXN	SQLEr
RXN66-25	EBP2r
1.18.1.2-RXN	FRDO
RXN0-5292	NTD3
GTP-CYCLOHYDRO-II-RXN	GTPCII2
BTUR2-RXN	CBIAT
6.2.1.34-RXN	FERULCOAS
RXN-13363	RDH3a
DGDPKIN-RXN	NDPK5
GUANYLCYC-RXN	GUACYC
RXN-11209	DURAD2
CYTIKIN-RXN	CYTDK1
ENTG-RXN	ENTCS
GPH-RXN	PGLYCP
LACTATE-2-MONOOXYGENASE-RXN	LO
CDPKIN-RXN	NDPK3
PYRNUTRANSHYDROGEN-RXN	NADTRHD
RXN0-2945	CU1Opp
RXN-10642	UPPDC2
YIAE1-RXN	DKGLCNR2y
SIROHEME-FERROCHELAT-RXN	SHCHF
S-ADENMETSYN-RXN	METAT
4.3.1.17-RXN	SERD_L
PHENDEHYD-RXN	ALDD19x
4.2.1.99-RXN	MICITD
PREPHENATEDEHYDROG-RXN	PPND
SUCCINYLDIAMINOPIMTRANS-RXN	SDPTA
RXN-5861	TYRDOPO
CHORISMATE-SYNTHASE-RXN	CHORS
RXN0-267	THIORDXi
RXN-8765	CPC6R
RXN-8768	CPC8MM
LYSINE-2-MONOOXYGENASE-RXN	LYSMO
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	LTDCL
DHBAMPLIG-RXN	DHBS
RXN-9384	SHSL2r
RXN-9386	GLUTRS2
RXN-14124	3NTD9pp
GLY3KIN-RXN	GLYCK
GLUCOSAMINE-KINASE-RXN	HEX10
RXN-14126	3NTD7l
DTMPKI-RXN	DTMPK
H2PTEROATESYNTH-RXN	FOLD3
RXN0-1402	R1PK
RXN-14120	NDPK9
RXN-14122	URIDK2m
ASPDECARBOX-RXN	ASP1DC
RXN-13565	NOS2
RXN-13564	NOS1
RXN-7609	NTD9
FGAMSYN-RXN	PRFGS
ATPPHOSPHORIBOSYLTRANS-RXN	ATPPRT
1.13.11.6-RXN	3HAO
RXN-9661	EAR120x
RXN-8956	ARUH
QUINOLINATE-SYNTHA-RXN	QULNS
RXN-14130	ACOAD4f
RXN-14142	NTD8
PREPHENATEDEHYDRAT-RXN	PPNDH
XANTHOSINEPHOSPHORY-RXN	PUNP7
ACETATEKIN-RXN	ACKr
2.1.1.20-RXN	GNMT
RXN-14147	UNK3
RXN-10799	ATPM
GLYOXYLATE-REDUCTASE-NADP+-RXN	GLYCLTDy
1.2.1.25-RXN	OIVD2
RXN0-745	RNTR1c
3.6.3.30-RXN	FE3abc
RXN-9772	ASPO5
2.7.7.13-RXN	MAN1PT
GLUTAMINASE-ASPARAGIN-ASE-RXN	GLUN
RXN-12559	ACOAD2
RXN-12558	ACOAD1
ATP-DEAMINASE-RXN	ATPHs
3.6.4.9-RXN	ATPM
7KAPSYN-RXN	AOXSr
UDPKIN-RXN	NDPK2
RXN-10862	ATPH2e
FORMYLTHFDEFORMYL-RXN	FTHFD
COBINPGUANYLYLTRANS-RXN	ACBIPGT
AMP-DEPHOSPHORYLATION-RXN	NTD7
LAUROYLACYLTRAN-RXN	EDTXS1
RXN66-1	CAT2p
RXN-9842	P45027A14m
GDPREDUCT-RXN	RNDR2
R346-RXN	ADOCBIAH
L-PIPECOLATE-OXIDASE-RXN	LPCOXc
DIAMINOPIMEPIM-RXN	DAPE
ARACHIDONATE-15-LIPOXYGENASE-RXN	ALOX15
FADSYN-RXN	FMNAT
RXN0-5108	GDPMNP
RXN0-5107	NTPP7
GSPAMID-RXN	GSPMDA
SULFOCYS-RXN	CYSS2
TRYPTOPHAN-RXN	TRPAS2
5-FORMYL-THF-CYCLO-LIGASE-RXN	FTHFCL
1.1.1.178-RXN	HACD9
ARGDECARBOX-RXN	ARGDC
THIAMIN-DIPHOSPHATE-KINASE-RXN	TMDPPK
RXN-10778	5HOXINOXDA
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	VALTA
ALTRO-OXIDOREDUCT-RXN	TAGURr
AMP-DEAMINASE-RXN	AMPDA
DARABISOM-RXN	ARABI
BENZOATE-12-DIOXYGENASE-RXN	BZ12DOX
3.6.5.4-RXN	NTP3
RXN6666-5	34DHPLACOX
BETA-UREIDOPROPIONASE-RXN	UPPN
GLYRIBONUCSYN-RXN	PRAGS
DEOXYGLUCONOKIN-RXN	DDGLK
ARACHIDONATE--COA-LIGASE-RXN	FACOAL204
RHAMNISOM-RXN	RMI
CYSTEAMINE-DIOXYGENASE-RXN	CYSAMO
RXN-8506	FADRx
RXN-5821	TYROXDAc
RXN-5822	NADPPPS
THIOSULFATE-SULFURTRANSFERASE-RXN	CYANST
METHGLYSYN-RXN	MGSA
CDPREDUCT-RXN	RNDR3
DCYSDESULF-RXN	CYSDDS
RXN-14204	GADktpp
RXN-14201	GTPH1
RXN-14202	UROLACer
ARGININE-DEIMINASE-RXN	ARGD
URACIL-PRIBOSYLTRANS-RXN	UPPRT
MALATE-DEH-RXN	MDH
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	MQO
KDO-8PPHOSPHAT-RXN	KDOPP
GSPSYN-RXN	GSPMDS
RETINAL-DEHYDROGENASE-RXN	RADH
1.1.1.39-RXN	ME1
GDPPYPHOSKIN-RXN	GDPDPK
RXN-12071	DHCIND
RXN-12072	CINNDO
RXN-8527	HMSD
TRANS-RXN-168	TREpts
ASPARTATE-N-ACETYLTRANSFERASE-RXN	ASPNATm
GUANOSINEKIN-RXN	GSNK
RXN0-704	3KGK
RXN0-705	KG6PDC
RXN0-703	DOGULNR
2.7.1.121-RXN	DHAPT
R212-RXN	RH2CD
ACETOLACTSYN-RXN	ACLS
1.5.1.8-RXN	SACCD3m
PHYTANATE--COA-LIGASE-RXN	FACOAL206
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	ASAD
1.14.13.98-RXN	P45046A1r
CARBODEHYDRAT-RXN	H2CO3D
RXN-12484	ALCD2y
RXN-5802	NADtn
HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN	34HPLFM
RXN-8529	4OT
RXN-8783	GLNLASEer
RXN-9939	DIAT
ETHAMLY-RXN	ETHAAL
RXNQT-4191	THMP
RXN-14228	NDPK10
ARGSUCCINSYN-RXN	ARGSS
3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	3HPPD
1.1.1.211-RXN	HACDp
CYTIDEAM2-RXN	CYTD
SERINE--TRNA-LIGASE-RXN	SERTRS
LIPIDADISACCHARIDESYNTH-RXN	LPADSS
HOMOGENTISATE-12-DIOXYGENASE-RXN	HGNTOR
ADPREDUCT-RXN	RNDR1
6-CARBOXYHEXANOATE--COA-LIGASE-RXN	CHCOAL
PSERTRANSAMPYR-RXN	OHPBAT
LYXISOM-RXN	LYXI
LIPIDXSYNTHESIS-RXN	USHD
2-OXOGLUTARATE-SYNTHASE-RXN	OOR3
RXN-8730	MI1345PP
LANOSTEROL-SYNTHASE-RXN	LNSTLS
2.7.9.3-RXN	SELNPS
RXN6666-7	DOPAMT
RIBOPHOSPHAT-RXN	PMDPHT
RXN-12019	APSR
PYRAMKIN-RXN	PYDAMK
CATECHOL-12-DIOXYGENASE-RXN	CATDOX
LEUKOTRIENE-A4-HYDROLASE-RXN	LTA4H
3.6.3.29-RXN	MOBDabc
RXN0-723	RNTR3c
RXN0-724	RNTR4c
FORMIMINOGLUTAMATE-DEIMINASE-RXN	FORGLUIH
3.6.4.7-RXN	ATPM
ASPCARBTRANS-RXN	ASPCT
RXN0-4841	FRULYSE
GLYCERONE-KINASE-RXN	DHAK
2.7.1.148-RXN	CDPMEK
XANTHINE-OXIDASE-RXN	XAOx
GLUCARDEHYDRA-RXN	GLCRD
RXN0-361	CYTDH
DEHYDOGLUCONOKINASE-RXN	2DHGLCK
RXN0-301	MTRPOX
RXN0-302	MECDPS
RXN-13268	AACPS6
RXN-13264	AACPS7
CHOLINE-KINASE-RXN	CHOLK
UDPNACETYLMURAMATEDEHYDROG-RXN	UAPGR
RXN3O-178	SAM24MT
IGPSYN-RXN	IGPS
ACONITATEDEHYDR-RXN	ACONTb
CTPSYN-RXN	CTPS2
DIHYDLIPACETRANS-RXN	PDHbr
3.6.4.1-RXN	ATPM
SHIKIMATE-5-DEHYDROGENASE-RXN	SHK3D
RXN3DJ-64	UDPGNP
3.6.4.6-RXN	ATPM
2.4.2.12-RXN	NMNS
RXN-9851	BAAT4x
RXN0-3942	GGGABAH
RXN-9852	BAAT5x
R163-RXN	BPNT2
ADENOSINE-NUCLEOSIDASE-RXN	ADNUC
THIAMIN-PYROPHOSPHOKINASE-RXN	TMDPK
IPPISOM-RXN	IPDDI
1.2.1.40-RXN	P45027A13m
DALADALALIG-RXN	ALAALAr
SUCCGLUALDDEHYD-RXN	SGSAD
RXN-9844	P45027A16m
ADENOSINE-PHOSPHATE-DEAMINASE-RXN	AMPDA
2.1.1.131-RXN	PC17M
SPERMACTRAN-RXN	SPMDAT1
ERYTH4PDEHYDROG-RXN	E4PD
UROGENDECARBOX-RXN	UPPDC1
CHOLINE-O-ACETYLTRANSFERASE-RXN	CHAT
RXN0-2461	ASCBptspp
AGMATIN-RXN	AGMT
CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN	P4507A1r
RIBULPEPIM-RXN	RBP4E
MALONYL-COA-DECARBOXYLASE-RXN	MCD
RXN-8483	DOPAQNISO1
MANNPDEHYDROG-RXN	M1PD
3.6.3.25-RXN	SULabc
RXN-13720	PGI
GLYOXII-RXN	GLYOX
GLUTDECARBOX-RXN	GLUDC
TESTOSTERONE-17-BETA-DEHYDROGENASE-RXN	HSD17B2r
RXN-14206	PHETHPTOX
RXN3DJ-35528	SRTNACT
CARNDETRU-RXN	CRNCDH
RXN0-6382	NTPP9
MALONYL-ACPDECARBOX-RXN	MACPD
TETRAACYLDISACC4KIN-RXN	TDSK
OXAMATE-CARBAMOYLTRANSFERASE-RXN	OXAMTC
PHOSACETYLGLUCOSAMINEMUT-RXN	ACGAMPM
ASPARAGINE--TRNA-LIGASE-RXN	ASNTRS
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	U23GAAT
2.7.1.127-RXN	MI145PK
MERCAPYSTRANS-RXN	MCPST
CHORISMATEMUT-RXN	CHORM
THI-P-SYN-RXN	TMPPP
RXN3DJ-25	SBPP3er
RXN-1521	MECDPDH
TRANS-RXN0-547	H2Ot
TRANS-RXN0-546	ETOHt
TRANS-RXN0-545	CO2t
TRANS-RXN0-544	NH4t
3PGAREARR-RXN	PGM
HISTIDINE-DECARBOXYLASE-RXN	HISDC
RXN-3962	AHXDH
CARNCOARACE-RXN	CRNCAR
HOMOACONITATE-HYDRATASE-RXN	HACNHm
PROPANOATECOA-LIGASE-RXN	ACCOAL
ALTRODEHYDRAT-RXN	ALTRH
RXN-9988	ACNAM9PL
RXN-9230	HBZOPT10m
NAG6PDEACET-RXN	AGDC
RXN0-5408	MI1PP
POLYAMINE-OXIDASE-RXN	POLYAO2
HIPPURATE-HYDROLASE-RXN	NBAH
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	MTAP
NADPYROPHOSPHAT-RXN	NADDP
RXN-7800	OMCDC
R213-RXN	CH2ACH
RXN-12634	ACGApts
ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN	ACSRTNMT
3-DEHYDROQUINATE-DEHYDRATASE-RXN	DHQD
CALCIDIOL-1-MONOOXYGENASE-RXN	25VITD3Hm
DARABALDOL-RXN	FBA4
3-SULFINYL-PYRUVATE-SPON-RXN	3SPYRSP
RXN0-5180	FRTT
DMK-RXN	DHNAOT4
RXN0-5187	ACP1(FMN)
RXN-10908	41R1H2MAE12BOOX
RXN-10909	SALMCOM2
ASPAMINOTRANS-RXN	ASPTA
RXN-10906	SALMCOM
RXN-10907	41R2A1H12BOOX
2.3.1.176-RXN	SCPx
PANTOATE-BETA-ALANINE-LIG-RXN	PANTS
RXN-10841	RDH1a
ATP-CITRATE-PRO-S--LYASE-RXN	ACITL
RIBOSYLHOMOCYSTEINASE-RXN	RHCCE
LYXK-RXN	XYLK2
RXN-14104	HPCLx
AICARTRANSFORM-RXN	AICART
METHYLISOCITRATE-LYASE-RXN	MCITL2
O-SUCCINYLBENZOATE-COA-SYN-RXN	SUCBZS
MYO-INOSITOL-2-DEHYDROGENASE-RXN	INS2D
RXN3O-1380	PSPHS
DIHYDROOROT-RXN	DHORTS
3.6.5.1-RXN	NTP3
GLYCDEH-RXN	GLYCDx
DHS-PHOSPHATASE-RXN	SBPP1
ALANINE--TRNA-LIGASE-RXN	ALATRS
PROPKIN-RXN	PPAKr
RXN3O-203	C8STI
RXN66-445	PHEtec
PHOSACETYLTRANS-RXN	PTAr
RXN66-448	ARGt5r
RXN66-449	TRPt
RXN3O-458	SLCBK2
RXN-36	AABTN
RXN-37	NABTNO
R223-RXN	FACOAL80
GABATRANSAM-RXN	ABTA
OHMETHYLBILANESYN-RXN	HMBS
THROMBOXANE-A-SYNTHASE-RXN	TXASr
LINOLENOYL-RXN	FACOAL1832
NICOTINATEPRIBOSYLTRANS-RXN	NAPRT
RXN-5647	CHLP
PRAISOM-RXN	PRAI
R322-RXN	R05219
BADH-RXN	BETALDHx
AIRCARBOXY-RXN	AIRCr
UDPNACETYLGLUCOSAMACYLTRANS-RXN	UAGAAT
CYSTAUR-RXN	LCYSTCBOXL
RXN66-2	ETOHMO
RXN66-3	ALDD2x
3.6.3.8-RXN	CA2abc
ALANINE-AMINOTRANSFERASE-RXN	ALATA_L
ACETYLCHOLINESTERASE-RXN	ACHEe
AMINOBUTDEHYDROG-RXN	ABUTD
RXN0-4341	GMHEPK
THREODEHYD-RXN	THRD
RXN-13698	ALATA_L
RXN-13697	ASPTA2
RXN-12618	GTHRDHpp
METHANOL-DEHYDROGENASE-RXN	ALCD1
3.6.5.2-RXN	NTP3
2.3.1.180-RXN	KAS15
PYRUVFORMLY-RXN	PFL
3.4.13.22-RXN	ALAALAD
RXN-8443	NICRNS
RXN-11192	COKECBESr
RXN-8627	APPLP
RXN-8626	THRPS
3.6.5.3-RXN	NTP3
RXN-7774	OXGDC
3.6.3.52-RXN	ATPM
ACONITATE-DELTA-ISOMERASE-RXN	ACONIs
SULFATE-ADENYLYLTRANS-RXN	SADT
2.6.1.59-RXN	TDPAGTA
2.7.1.133-RXN	MI134PK
GLYOXYLATE-OXIDASE-RXN	GLXO2p
RXN0-4281	ALR2
3.6.4.2-RXN	ATPM
4.2.1.59-RXN	3HAD80
UDPACYLGLCNACDEACETYL-RXN	UHGADA
RXN-13202	CBPSam
HISTIDPHOS-RXN	HISTP
METHENYLTHFCYCLOHYDRO-RXN	MTHFC
L-GULONATE-3-DEHYDROGENASE-RXN	GULN3D
6PGLUCONOLACT-RXN	PGL
RXN0-3542	TDP
RXN0-3543	2MAHMP
TRANS-RXN0-277	THD1m
SUPEROX-DISMUT-RXN	SPODM
DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN	DGULND
RXN-9535	3OAS140
RXN-8166	1PPDCRc
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	MI3PP
VAGL-RXN	APTNAT
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	PCLAD
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	AGT
4.1.1.75-RXN	OARGDC
MALONYL-COA-ACP-TRANSACYL-RXN	MCOATA
H2NTPEPIM-RXN	DHPTPE
SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN	SGPL11r
PORPHOBILSYNTH-RXN	PPBNGS
ADENOSYLHOMOCYSTEINASE-RXN	AHC
1.8.4.8-RXN	PAPR
IMIDPHOSDEHYD-RXN	IGPDH
MANNONOXIDOREDUCT-RXN	MANAO
GLUTAMATE-SYNTHASE-NADH-RXN	GLUSx
RHAMNULOKIN-RXN	RMK
COBALADENOSYLTRANS-RXN	CBLAT
RXN-12893	CYNTAH
RXN-13418	FDMO
URKI-RXN	URIK2
RXN-9548	FA180ACPH
DAHPSYN-RXN	DDPA
XANPRIBOSYLTRAN-RXN	XPPT
RXN0-305	HPYRI
RIBAZOLEPHOSPHAT-RXN	RZ5PP
DHBDEHYD-RXN	DHBD
ACP-S-ACETYLTRANSFER-RXN	ACOATA
COBALAMINSYN-RXN	ADOCBLS
DTDPKIN-RXN	NDPK4
6.3.2.7-RXN	UAAGLS2
RXN-11318	NFMLDF
RXN-14219	NTP8
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	MOHMT
GTPPYPHOSKIN-RXN	GTPDPK
1.3.1.2-RXN	DURAD
GLUTAMIN-RXN	GLUN
RXN0-384	NTPP5
RXN-9600	HISTASE
RXN66-484	FACOAL191
GTP-CYCLOHYDRO-I-RXN	GTPCI
1.13.11.9-RXN	PYRDOX
RXN-7980	P4507B11r
RXN0-303	ALLPI
IMIDAZOLONEPROPIONASE-RXN	IZPN
NICONUCADENYLYLTRAN-RXN	NNAT
RXN-9532	3OAR120
LYSINE-RACEMASE-RXN	LYSRC
RXN66-320	EBP1r
TRANS-RXN-206	XANt2
TRANS-RXN-203	ADNt2
5.3.1.23-RXN	MTRI
PABASYN-RXN	ADCS
PROSTAGLANDIN-E-SYNTHASE-RXN	PGESr
PGLUCONDEHYDRAT-RXN	EDD
UREIDOGLYCOLATE-HYDROLASE-RXN	UGLYCH
RXN-9830	1a,25VITD3Hm
RXN0-5473	URIC
RXN66-340	P45017A1r
RXN66-343	SR5ARr
R311-RXN	AMID5
PHOSPHOMEVALONATE-KINASE-RXN	PMEVK
RXN-7573	6HNACMO
MEVALONATE-KINASE-RXN	MEVK1
RXN-10969	PRPPP
RXN-10964	PMI12346PH
RXN-10966	AP5AH
RXN-10960	MI34PP
RXN-10963	PMI1346PH
RXN-7790	OBDHc
R205-RXN	AKGCAL
MEPROPCOA-FAD-RXN	ACOAD9m
RXN66-446	TYRt
RXN66-447	LEUt5m
RXN-1061	FAH3
ACETOACETATE--COA-LIGASE-RXN	AACOAT
RXN-11370	DIPS
PPGPPSYN-RXN	PPGPPDP
XYLISOM-RXN	XYLI1
MALIC-NAD-RXN	ME1
DIHYDROXYMETVALDEHYDRAT-RXN	DHAD2
FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN	FTHFDH
MTAMBARKMULTI-RXN	MCMMT
RXN-9628	FACOAE100
MALEATE-ISOMERASE-RXN	MALEI
RXN-14025	NTD2
RXN-14026	NTD4
AMACETOXID-RXN	AACTOOR
SPERMIDINESYN-RXN	SPMS
ACETOACETATE-DECARBOXYLASE-RXN	ADCim
3-ISOPROPYLMALISOM-RXN	IPPMIb
L-IDONATE-2-DEHYDROGENASE-RXN	IDOND2
CARNITINE-O-ACETYLTRANSFERASE-RXN	CSNAT
PRPPAMIDOTRANS-RXN	GLUPRT
ALANINE-DEHYDROGENASE-RXN	ALAD_L
GDPKIN-RXN	NDPK1
RXNN-404	AMID3
TRANS-RXN-198	ADEt2
TRANS-RXN-190	Ktex
GUANPRIBOSYLTRAN-RXN	GUAPRT
RXN0-385	NTPP1
TRANS-RXN-227	CITRtm
TRANS-RXN-225	MALtex
TRANS-RXN-224	MALtex
RXN-9106	DPPS
ADENODEAMIN-RXN	ADA
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	3HBCDm
FUC4NACTRANS-RXN	AADDGT
1.5.1.7-RXN	SACCD2
CYSTAGLY-RXN	CYSTGL
HISTCYCLOHYD-RXN	PRAMPC
NAD-SYNTH-NH3-RXN	NADS1
GARTRANSFORMYL2-RXN	GART
NACGLCTRANS-RXN	UAGPT3
3.1.3.57-RXN	MI14PP
R226-RXN	7MHTS
RXN-10980	DASCBR
THIAZOLSYN3-RXN	HETZK
RXN-13458	OP4ENH
GUANIDINOBUTYRASE-RXN	GUDBUTNAH
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	AHSERL
2KETO-3METHYLVALERATE-RXN	OIVD3
DAPASYN-RXN	AMAOTr
2.7.1.134-RXN	MI3456PK
SARCOX-RXN	SARCOX
PEPCARBOXYKIN-RXN	PPCK
RIBOFLAVINSYNDEAM-RXN	DHPPDA2
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	ALASm
SUCCARGDIHYDRO-RXN	SADH
3-DEHYDROQUINATE-SYNTHASE-RXN	DHQS
GDPMANDEHYDRA-RXN	GMAND
3.6.3.20-RXN	GLYC3Pabc
RXN-9626	FACOAE140
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	34HPPOR
RXN3O-504	SBPP2
RXN-7948	ETHP
PANTOTHENATE-KIN-RXN	PNTK
RXN-6321	FOMETR
2.7.8.25-RXN	TPRDCOAS
DMBPPRIBOSYLTRANS-RXN	NNDMBRT
1.1.1.83-RXN	MALDDH
R145-RXN	MDRPD
SULFINOALANINE-DECARBOXYLASE-RXN	3SALACBOXL
R234-RXN	COMS
2.3.1.97-RXN	GLPT
3.6.5.6-RXN	NTP3
MANNPGUANYLTRANGDP-RXN	MAN1PT2
ADENINE-DEAMINASE-RXN	ADD
RXN0-5214	ASCBPL
METHIONINE--TRNA-LIGASE-RXN	METTRS
3.1.4.44-RXN	GPDDA5
PSERTRANSAM-RXN	PSERT
GLUTRNAREDUCT-RXN	GLUTRR
DTDPGLUCOSEPP-RXN	G1PTT
3.1.2.21-RXN	FA120ACPH
LYSINE-23-AMINOMUTASE-RXN	LYSAM
3.1.3.74-RXN	PYDXPP
PEPSYNTH-RXN	PPS
RXN3O-1118	T4HCINNMFM
